,sentiment,company,text
43,neutral,Virgin America,unused ticket move new city expires travelhelp
44,neutral,Virgin America,leave dallas seattle feb
45,positive,Virgin America,elevategold good reason rock
46,positive,Virgin America,wow blow mind
47,neutral,Virgin America,think agree
48,neutral,Virgin America,ladygaga entertain
49,neutral,Virgin America,way suppose take minute ago website still show thanks
50,positive,Virgin America,julie andrews way though ladygaga impressive
51,neutral,Virgin America,wish atlanta soon
52,neutral,Virgin America,ladygaga julie andrew hand
53,neutral,Virgin America,leave dallas la february
54,negative,Virgin America,hi excite lga dal deal try book since last week page never load thx
55,positive,Virgin America,know need spotify stat guiltypleasures
56,positive,Virgin America,ladygaga lady gaga amaze smile face smile eye
57,neutral,Virgin America,ladygaga carrie
58,neutral,Virgin America,new marketing song let know think
59,neutral,Virgin America,ladygaga julie andrew first lady gaga wow last night carrie meh
60,negative,Virgin America,call week ago add elevate still show
61,neutral,Virgin America,ladygaga great carrieunderwood smile face heart eye ok hand
62,neutral,Virgin America,ladygaga sorry mary martin first
63,positive,Virgin America,ladygaga love three really beat classic
64,neutral,Virgin America,tried check could status please
65,negative,Virgin America,heyyyy guyyyys try hour someone call please
66,negative,Virgin America,hi virgin hold minute earlier la nyc tonight earlier
67,positive,Virgin America,congrats win award best deal airline
68,negative,Virgin America,everything fine lose bag
69,neutral,Virgin America,need change reservation virgin credit card need modify phone waive change fee online
70,neutral,Virgin America,email customer service team let know need track number
71,neutral,Virgin America,hi book need add baggage
72,negative,Virgin America,airline awesome lax loft need step game dirty table floor
73,positive,Virgin America,worried great ride new plane great crew airline like
74,positive,Virgin America,awesome yall sit morning way correct bill
75,neutral,Virgin America,first different rate policy medium bag thanks
76,negative,Virgin America,customer service anyway speak human asap
77,neutral,Virgin America,happen doom
78,negative,Virgin America,supp biz traveler like customer service like neverflyvirginforbusiness
79,positive,Virgin America,applied member inflight crew team im interested flightattendant dreampath g
80,negative,Virgin America,best whenever begrudgingly use airline delay late shock
81,negative,Virgin America,interest cancelled next four plan neverflyvirginforbusiness
82,negative,Virgin America,disappointing experience share every business traveler meet neverflyvirgin
83,negative,Virgin America,trouble add wife book elevate account
84,neutral,Virgin America,bring reservation online use book problem code
85,neutral,Virgin America,random q distribution elevate avatar bet kitty disproportionate share
86,neutral,Virgin America,heart va life happen try change trip jperhi va home page prevent
87,negative,Virgin America,site back
88,neutral,Virgin America,rnp yeah know
89,neutral,Virgin America,hi leave point elevate account recent add point account
90,negative,Virgin America,like tv interest video disappoint cancel flightled jfk saturday
91,negative,Virgin America,land lax hour late bag check business travel friendly nomorevirgin
92,neutral,Virgin America,redirect
93,negative,Virgin America,website btw new website great user experience another redesign
94,negative,Virgin America,check add bag website work tried desktop mobile
95,negative,Virgin America,let scan passenger leave plane tell someone remove bag class bin uncomfortable
96,negative,Virgin America,phone number find call reservation
97,negative,Virgin America,anyone anything today website useless one answer phone
98,neutral,Virgin America,try add boy prince ressie sf thursday lax
99,neutral,Virgin America,check new music
100,negative,Virgin America,direct fll sfo unexpected layover vegas fuel yet peeps next bought vega sneaky
101,negative,Virgin America,late bag check lose business miss apt three people exp
102,positive,Virgin America,amaze customer service two heart two heart raeann sf best customerservice virginamerica
103,negative,Virgin America,call service line hang awesome sarcasm
104,negative,Virgin America,site trip try check plain text version reluctant enter card info
105,neutral,Virgin America,schedule sfo dal today change due weather look like still
106,positive,Virgin America,getaway deal may one way lots cool city cheapflights farecompare
107,neutral,Virgin America,getaway deal may one way lots cool city cheapflights farecompare
108,positive,Virgin America,getaway deal may one way lots cool city cheapflights farecompare
109,neutral,Virgin America,getaway deal may one way lots cool city cheapflights farecompare
110,positive,Virgin America,great week sun face airplane
111,positive,Virgin America,come back phl already need take horrible cold pleasecomeback
112,negative,Virgin America,concerned plane need delay due tech stop
113,positive,Virgin America,best airline easy change reservation helpful representative comfortable experience
114,positive,Virgin America,another rep kick butt naelah represent team beautifully
115,positive,Virgin America,beautiful front end design right cool still book ticket b c back end secure
116,positive,Virgin America,la tonight wait delayed keep thing entertain
117,negative,Virgin America,use another browser brand reputation build tech response cross browser compatible website
118,negative,Virgin America,book problem site totally folk problem
119,positive,Virgin America,thanks outstanding nyc jfk crew move mountain home san francisco tonight
120,positive,Virgin America,absolute best team customer service ever every delight
121,neutral,Virgin America,provide complimentary upgrade first class available seat
122,negative,Virgin America,need change thats schedule hour min wait phone im call intern
123,positive,Virgin America,completely awesome experience last month bos las nonstop thanks awesome depart vabeatsjblue
124,neutral,Virgin America,jfk sfo
125,neutral,Virgin America,cancel flightled
126,negative,Virgin America,fail customer check process disconnect tsa pre check
127,negative,Virgin America,fidifamilies terrible airline give hotel hotline number say sorry
128,neutral,Virgin America,number sfo cabo san lucas arrive yet
129,negative,Virgin America,chrysichrysic assistance yesterday cancel flightled give hotel hotline shame
130,negative,Virgin America,another delayed likingyoulessandless
131,negative,Virgin America,need register service dog first class ticket sfo dull phone queue hour longer pls advise
132,neutral,Virgin America,reallytallchris drop track
133,positive,Virgin America,always xoxo
134,negative,Virgin America,book seat buy even check creates much anxiety frustrate
135,negative,Virgin America,think pay extra buck rt luggage might afford hire extra hand lame
136,positive,Virgin America,best customer service rep world irmafromdallas take cake
137,neutral,Virgin America,find flt lax sooner midnight monday would great customer service grin face big eye
138,negative,Virgin America,please provide status cant imagine web indicate dude weather dallas
139,positive,Virgin America,amazing staff super helpful run princesshalf spoil comfort
140,negative,Virgin America,pay premium across country cancel offer check fee upgrade love sad face shock
141,negative,Virgin America,question actual book seat infant take option want seat
142,positive,Virgin America,always together welcome rt jessicajaymes welcome
143,positive,Virgin America,home dc sunset globe backtowinter back work refresh
144,negative,Virgin America,virginamerica understand need dm give answer damage luggage policy
145,negative,Virgin America,virginamerica mean policy destroy luggage
146,neutral,Virgin America,kid infant priority boarding
147,positive,Virgin America,check ticket purchase customer happy
148,neutral,Virgin America,website ever come back online
149,neutral,Virgin America,love field sfo definitely cancel flightled monday february
150,neutral,Virgin America,lga dfw
151,neutral,Virgin America,driver license expired little month friday morning use expire license
152,negative,Virgin America,problem book problem web site keep give error contact phone phone minute wait
153,negative,Virgin America,reschedule cancel flightled online change button grey
154,negative,Virgin America,rang wait minute book ticket vendor fix site
155,negative,Virgin America,tell today check email tomorrow unacceptable
156,negative,Virgin America,pairing include red wine white offer shock redwineisbetter
157,negative,Virgin America,website
158,negative,Virgin America,site seem little wonked right may want look tried two browser css
159,negative,Virgin America,disappointed agent designate silver status check line close assist pasengers
160,neutral,Virgin America,plan include austin dallas route topnews arab emirate
161,negative,Virgin America,normal receive reply central baggage baggageissues smh
162,negative,Virgin America,logan airport wait checkin checkin desk covert
163,neutral,Virgin America,beat eps view take va luv investor business daily
164,neutral,Virgin America,begin dallas austin april ketr
165,negative,Virgin America,sfo ewr clincher
166,negative,Virgin America,apply week ago hear back week disappoint
167,neutral,Virgin America,love know policy damage luggage
168,positive,Virgin America,follow
169,negative,Virgin America,many apology r worse airline even respond cudtomers
170,negative,Virgin America,shame va people spend money strand city airline land jfk reimburse
171,neutral,Virgin America,dm
172,neutral,Virgin America,please sjc choice southwest vega weary face loudly cry face
173,negative,Virgin America,bad say take day via confirmation email inquired week claim week
174,negative,Virgin America,bos las tomorrow cancel flightled notification wait hour rebook another airline
175,positive,Virgin America,smile face sunglass rt meet match status another airline upgrade restr http co pyalebgkjt
176,positive,Virgin America,way elevate gold
177,neutral,Virgin America,guy cmh
178,negative,Virgin America,lot apology thrown customer see sad thanks nothing worst airline ever
179,negative,Virgin America,stuff wrong nothing worst ever
180,neutral,Virgin America,issue find miss item plane find airport plane head next
181,positive,Virgin America,match status cool
182,neutral,Virgin America,virginamerica meet match status another airline upgrade asarco e ar hear evil monkey
183,negative,Virgin America,try book guy website let lose business
184,negative,Virgin America,suck
185,positive,Virgin America,thanks
186,negative,Virgin America,dm issue persist
187,negative,Virgin America,never rec cancel flightlation notice leave w option ps drive la red eye mon w kid
188,negative,Virgin America,try book site beam face smile eye
189,negative,Virgin America,boston tomorrow need home cancel flightled anything
190,negative,Virgin America,stink cancel psp jfk notification ability rebook disappoint expect well
191,positive,Virgin America,love guy song dance high school dance revue
192,negative,Virgin America,website try check
193,positive,Virgin America,do quick response apparently faster sit hold
194,neutral,Virgin America,nervous dc lax cancel flightled tomorrow send dm
195,positive,Virgin America,cool picture another virginamerica plane wing site
196,positive,Virgin America,keep great work smile
197,positive,Virgin America,goodness people field amazing pressure red heart texas beatstheothers crisis please ny
198,positive,Virgin America,thanks great la boston pilot great job landing snow back la seriously
199,neutral,Virgin America,please new york area monday afternoon
200,positive,Virgin America,thanks much awesome support guy rock
201,negative,Virgin America,seat row recline mention website soreback
202,negative,Virgin America,delayed hour la due mechanical problem handle like pro could toss free drink
203,negative,Virgin America,cancelled today precipitation scar snowflake snowflake snowflake
204,positive,Virgin America,twitter team guy kill reschedule asap
205,negative,Virgin America,guy charge reschedule cancel flighted refuse refund deal
206,negative,Virgin America,access website safari iphone seem work mac ipad need iphone add passbook
207,neutral,Virgin America,ipad iphone click checkin link email receive
208,negative,Virgin America,mobile site broken show header elevateuser numofpointsavailable number point let checkin
209,negative,Virgin America,really look forward let know reschedule diehardvirgin
210,negative,Virgin America,one sec delay airport next cancel flightled gon na email call reschedule
211,negative,Virgin America,problem link email check thanks
212,negative,Virgin America,change another airline dc today able land dc cost ugh
213,negative,Virgin America,look forward first today cancel flightled along subsequent one
214,positive,Virgin America,put great deal pdx las la pdx show love
215,positive,Virgin America,wish afford next friday back home love everything airline
216,negative,Virgin America,gon na deal dallas dc deal dc dallas sad
217,neutral,Virgin America,bug report guy
218,negative,Virgin America,hold call center bit much
219,positive,Virgin America,like
220,negative,Virgin America,site
221,positive,Virgin America,best attendant ever
222,positive,Virgin America,awesome rt watch nominate films foot meetthefleet oscar
223,positive,Virgin America,thanks much
224,negative,Virgin America,try reset password email never arrive
225,positive,Virgin America,nicely do clapping hand
226,positive,Virgin America,look forward watch oscar home tomorrow might even something bubbly drink
227,negative,Virgin America,reason delay departure vx jfk afternoon
228,negative,Virgin America,today palm spring ca jfk ny cancel flightled
229,positive,Virgin America,hahaha face tear joy guy amaze love guy grow heart
230,positive,Virgin America,sound like fun
231,neutral,Virgin America,update jfk lax
232,neutral,Virgin America,spruce moose
233,negative,Virgin America,cs site right please fix site unusable
234,negative,Virgin America,vega boston today check online bag count register fix somehow
235,positive,Virgin America,classiq luv virgin america greetingz
236,negative,Virgin America,hi try check website work tried different browser problem continue
237,positive,Virgin America,thanks great customer service today travel sort
238,positive,Virgin America,thanks guy sweet route rockies airplanemodewason
239,positive,Virgin America,love music blast gate boston wait sanfrancisco could iced coffee
240,negative,Virgin America,passenger flt assault flown trust ban crew file report
241,negative,Virgin America,current bug website show select departure city select destination city
242,negative,Virgin America,luggage severely dent miss wheel come baggage claim san luggage agent miranda think
243,positive,Virgin America,easy itinerary shift impend weather quick painless free
244,neutral,Virgin America,love see girl inspire become pilot rt free woaw event march abq
245,positive,Virgin America,thanks good back vodkatonics entire cocktail glass sfo
246,neutral,Virgin America,beat expectation share take santa cruz sentinel
247,neutral,Virgin America,plan start direct dal la
248,neutral,Virgin America,vipswagbags avalonhollywood
249,positive,Virgin America,great job add little luxury aesthetic improve air travel experience keep
250,negative,Virgin America,request window seat confirm window stuck middle seat good way treat silver member unamused face
251,neutral,Virgin America,grand budapest hotel oscarscountdown
252,neutral,Virgin America,miss next trip
253,negative,Virgin America,wtf pay direct purpose stop fuel exhaust frequent flier nothing inconvenience
254,negative,Virgin America,something wrong website safari iphone
255,positive,Virgin America,thanks gate check baggage full dfw lax give early boarding sweet
256,negative,Virgin America,already check page expire x
257,negative,Virgin America,boo refund seat upgrade fee want buy first place
258,neutral,Virgin America,financial result usa today
259,neutral,Virgin America,add pillow instead lie flat seat first class arm race
260,positive,Virgin America,see
261,neutral,Virgin America,way take advantage mayweatherpacquiao smile
262,neutral,Virgin America,know virgin fight mayweatherpacquiao
263,positive,Virgin America,inflight team experience amaze
264,positive,Virgin America,cutest salt pepper shaker ever think guy better
265,negative,Virgin America,move seat notice well seat cabin select behind row select thumb disappoint
266,positive,Virgin America,fav airline
267,positive,Virgin America,hot female pilot sweet dca sfo smile
268,neutral,Virgin America,thumb thumb airplane airplane grow heart guy start paris lizautter welcome
269,neutral,Virgin America,policy surgery still wait answer tell doctor
270,negative,Virgin America,already contacted central baggage send dm charge dress lose suitcase
271,negative,Virgin America,anything website lot error past minute
272,neutral,Virgin America,think leave something plane yesterday call ah
273,neutral,Virgin America,need follow back order dm
274,neutral,Virgin America,need start smile face smile eye grin face grin face big eye grin face smile eye
275,neutral,Virgin America,told check airline regulation first contact
276,negative,Virgin America,virginatlantic check sfo lax tell atlantic club gold benefit
277,negative,Virgin America,husband order three drink via screen never come awesome
278,negative,Virgin America,soooo guy leave seatbelt light barely call turbulence smile
279,neutral,Virgin America,policy surgery
280,negative,Virgin America,funny story website broken miss javascript stylesheets checkin process dislike
281,positive,Virgin America,would love virgin like
282,neutral,Virgin America,apply position wonder guy receive application
283,neutral,Virgin America,achieves second year profitability despite revenue pressure http co zsuztnaijq
284,negative,Virgin America,try check ct tmm desktop website malfunction sort cache bug so
285,neutral,Virgin America,weather delay next week jfk bos dca
286,neutral,Virgin America,check website airport
287,negative,Virgin America,guy know check link email broken
288,neutral,Virgin America,pilot say expect choppy landing nyc due gusty wind w temperature degree w windchill
289,positive,Virgin America,love wait monday return mostly watch inflight safety video sorrynotsorry
290,negative,Virgin America,lose luggage day ago vx lax iad call every day response please give back stuff
291,negative,Virgin America,book problem section website seem broken chrome might wan na look
292,positive,Virgin America,hi want see new route plan year newark love guy hope
293,positive,Virgin America,mean probably inappropriate board
294,positive,Virgin America,happy spend day together let
295,neutral,Virgin America,save sanity right
296,neutral,Virgin America,miss standby work
297,positive,Virgin America,virginamerica understanding thx comp
298,neutral,Virgin America,brought way across country today see
299,positive,Virgin America,absolutely smile face sunglass
300,negative,Virgin America,look like broken link asset
301,neutral,Virgin America,ready let say together noooo turbulence today face blow kiss
302,negative,Virgin America,manage itinerary section website seem broken
303,negative,Virgin America,check site look like every load
304,neutral,Virgin America,princess need urgent treatment flag united state old battling cancer could grow heart freyasfund
305,neutral,Virgin America,may start service hawaii sanfrancisco year biztravel
306,negative,Virgin America,carrier less half price round trip fare stun
307,neutral,Virgin America,add dtw sell
308,positive,Virgin America,free drink back free promo
309,positive,Virgin America,ssal thanks
310,neutral,Virgin America,momma beam face smile eye beam face smile eye beam face smile eye
311,neutral,Virgin America,please contact portfolio leave vx jfk sfo tonite seat need return call
312,neutral,Virgin America,jkf tonight seat leave portfolio need back
313,neutral,Virgin America,shrinerack seattle bound wifey duffle vday keeper holla
314,negative,Virgin America,luggage file paperwork promise call email still resolution response central luggage
315,neutral,Virgin America,bestcrew sherocks
316,positive,Virgin America,thanks
317,positive,Virgin America,thanks take care rockstars travel
318,positive,Virgin America,thanks lovely soft view travel san sfo
319,negative,Virgin America,request mileage challenge status several week ago online hear back
320,negative,Virgin America,try book ticket nyc face super fun broken style worry keep try smile
321,neutral,Virgin America,many thanks follow ourprincess freyasfund usa bandie look smile face heart eye grow heart flag united kingdom grow heart flag united state grow heart ribbon globe show asia australia ribbon
322,neutral,Virgin America,nice lofty view silverstatus
323,negative,Virgin America,apply status match feb confirmation email day still news though guy drop ball late flightly sad relieve face
324,neutral,Virgin America,new airline
325,neutral,Virgin America,virginatlantic americanair ourprincess need usa ribbon flag united kingdom ribbon flag united state ribbon
326,positive,Virgin America,adore look forward austin two week
327,positive,Virgin America,glad mention take first virgin year back transformative experience
328,neutral,Virgin America,book problem uphold status match tax ticket count earn status point statusmatch virginamerica
329,negative,Virgin America,try check look like site
330,negative,Virgin America,spending birthday night dal dca home
331,negative,Virgin America,sent couple message email provide avail try next year cheer
332,positive,Virgin America,first virgin sanfrancisco thanks smooth ride easily new fav airline
333,negative,Virgin America,seriously though differ direct sfo fll may
334,negative,Virgin America,fine already do purchase try way back
335,negative,Virgin America,really experience hop ws force check small carry w nothing empty cabin space board
336,negative,Virgin America,wjere luggage slow lax
337,neutral,Virgin America,jump dallas austin market
338,negative,Virgin America,spoke representative offer solution loyal customer well
339,negative,Virgin America,deeply disappointed birthday promo defy trip book mere day receive email
340,negative,Virgin America,happen direct sfo fll look may see connect dontdothistome
341,neutral,Virgin America,lax sfo
342,neutral,Virgin America,partner checkout mobile payment method boost mobile conversion rate etailwest payment visa
343,positive,Virgin America,promote product problem southwest recommend noneother best
344,positive,Virgin America,love guy pls direct route las au
345,neutral,Virgin America,would like please
346,neutral,Virgin America,bruh virginamerica turn vxsafetydance
347,positive,Virgin America,course work obsess entire virgin family
348,positive,Virgin America,ok first tonight smile
349,neutral,Virgin America,dig swanky pink mood light nyc sfo need cabaret singer think
350,neutral,Virgin America,do need receipt asap could please
351,negative,Virgin America,emboss badge patch superior one currently use
352,negative,Virgin America,jfk la dirty plane downwards standard
353,negative,Virgin America,head la jfk dirtiest va plane ever sad great airline
354,positive,Virgin America,got square away someone pick soon tweet tweeted sooner wink face
355,negative,Virgin America,avis rental continue button work website book car try phone suck
356,negative,Virgin America,currently minute hold cust service need anything add lap child reservation
357,neutral,Virgin America,add pillow instead lie flat seat first class arm race
358,positive,Virgin America,virginamerica course fun celebrate thanks happy chinese new year
359,positive,Virgin America,book problem last second next week sfo san chance want gift promo code since love guy
360,negative,Virgin America,comenity bank joke please change nothing constant problem bank
361,neutral,Virgin America,dm also add
362,positive,Virgin America,grandma ella would heart bday greet crew stewardess eastern airline
363,positive,Virgin America,buy tix atx dallas route thanks add love yr airline yr website best transactional site ever
364,neutral,Virgin America,anytime sugafly
365,positive,Virgin America,give credit late yesterday great service wow moment unexpected gesture
366,neutral,Virgin America,need receipt change send one
367,negative,Virgin America,submit status match request back still hear monday look accelerate
368,positive,Virgin America,safety video love first cross country livewelltraveled sytycd
369,positive,Virgin America,look fat look yummy
370,neutral,Virgin America,ceo say jetblue stray low cost model
371,neutral,Virgin America,atlantic plough lone furrow middleeast thenationaluae
372,neutral,Virgin America,atlantic plough lone furrow middleeast thenationaluae
373,neutral,Virgin America,atlantic plough lone furrow middleeast thenationaluae
374,positive,Virgin America,omg omg smile face heart eye smile face heart eye nonstop dallas austin virgin sparkle face scream fear airplane
375,positive,Virgin America,plane really pretty think know smile
376,neutral,Virgin America,hawaii
377,negative,Virgin America,pull hair try book site work iphone ipad computer
378,negative,Virgin America,support ticket day incident
379,positive,Virgin America,good home texas moodlighting
380,negative,Virgin America,can not even open laptop seat pay premium let
381,negative,Virgin America,seat can not even open laptop pay extra seat
382,neutral,Virgin America,virginamerica guy start end month guess still road trip feb
383,positive,Virgin America,thanks need way austin trip dca come
384,neutral,Virgin America,really sprint think guy kewl
385,positive,Virgin America,cool never ur plane
386,neutral,Virgin America,dollar lax las fare
387,positive,Virgin America,great well deserve
388,negative,Virgin America,fyi info virginamerica com email address say contact password reset email exist email bounce
389,negative,Virgin America,status match week news flt next week hope flt count towards requirement cust svc
390,negative,Virgin America,website suck donkey dick think know best
391,neutral,Virgin America,still develop app favorite airline
392,negative,Virgin America,crap channel pay watch uk tv
393,positive,Virgin America,set thanks
394,neutral,Virgin America,channel year
395,neutral,Virgin America,thing see passbook virgin mobile mexico integrate
396,positive,Virgin America,giant virgin america match heaven
397,positive,Virgin America,goodness also see friday nwk sf boom
398,negative,Virgin America,come iphone app still use waste paper
399,negative,Virgin America,back seat entertainment system reject credit card apostrophe surname apostrophefail
400,negative,Virgin America,vx use lga slot instead today add aus less likely shock
401,neutral,Virgin America,step game tindertips tinderchamp
402,positive,Virgin America,luv ur people product thing charge herbal tea whiten tea caffeine drinker
403,positive,Virgin America,see soon excited see expansion destination spread wing
404,negative,Virgin America,sad learn longer sfo phl hope return
405,neutral,Virgin America,tweet cancel chng fee rebook one affiliate afiliates
406,positive,Virgin America,incredible customer service ever experience refresh
407,neutral,Virgin America,see virginamerica come philadelphia phl
408,positive,Virgin America,dream really open route dallas austin mean houston might next
409,positive,Virgin America,omg finally
410,neutral,Virgin America,dallas austin avgeek
411,neutral,Virgin America,nice see expand texas forget sandiego would love see
412,negative,Virgin America,kinda suck earphone jack work may want look future passenger
413,negative,Virgin America,poor experience first computer problem seat malfunction stick miss meeting san diego
414,neutral,Virgin America,battle route via
415,positive,Virgin America,thankyou dal aus route day
416,positive,Virgin America,awesome deal dal aus way
417,neutral,Virgin America,miss nerdbird san jose
418,positive,Virgin America,love take backyard consumer win biz competes
419,positive,Virgin America,​ love austin excellent news
420,neutral,Virgin America,every vx plane nerdbird austin one nerd love
421,neutral,Virgin America,please add frequency pdx portland
422,positive,Virgin America,congrats vx new route airplane party popper
423,negative,Virgin America,try offer charge additional new ticket strand thurs last
424,neutral,Virgin America,americanair old battling cancer need treatment flag united state grow heart ribbon grow heart
425,negative,Virgin America,never bad experience one take cake extortion carry item well
426,negative,Virgin America,spend hour worry item carryon would break steal since carry plane lock bag
427,negative,Virgin America,group e tell room bin plane room least bags row
428,negative,Virgin America,thanks lax jfk nightmare force check carry bag gate
429,negative,Virgin America,lot book site work phone wait minute
430,positive,Virgin America,artisanal cheese wine pairing
431,neutral,Virgin America,virgin america direct seattle nyc boston
432,positive,Virgin America,classy
433,positive,Virgin America,sure lot jfk lhr lot faster strong tailwind
434,positive,Virgin America,minus minute elevate silver upgrade window open freeneversucks grin face big eye thumb
435,neutral,Virgin America,save tomorrow
436,negative,Virgin America,take year home dallas shit together
437,neutral,Virgin America,jezziegoldz club virgin bump new york
438,positive,Virgin America,jezziegoldz would rough trip luckily virginamerica weather
439,neutral,Virgin America,thestarter beam face smile eye
440,neutral,Virgin America,please come minneapolis st paul
441,neutral,Virgin America,yes fyi bff
442,positive,Virgin America,another perfect come plane sun visor stay carrier raise
443,positive,Virgin America,nice rt man steel might faster wifi say sciencebehindtheexperience
444,positive,Virgin America,love dance little richard cool bean
445,positive,Virgin America,use passbook still love though heart smile use email future
446,positive,Virgin America,thanks free birthday point right
447,neutral,Virgin America,application io look saw virgin mexico shock broken heart
448,negative,Virgin America,man steel city though frequency
449,positive,Virgin America,thanks much share add site
450,neutral,Virgin America,good point
451,neutral,Virgin America,virginamerica heard virgin mobile hotspot
452,neutral,Virgin America,cheese plate
453,positive,Virgin America,dad segway best part whole infographic
454,positive,Virgin America,plan short haul airline europe would defiantly guy smile
455,positive,Virgin America,wifi well seating
456,neutral,Virgin America,come abc one network channel
457,negative,Virgin America,start scold use overhead bin offer person seat next
458,positive,Virgin America,virginamerica great return call day ask myvxexperience
459,negative,Virgin America,airline cancel bos customer home virgin say good luck
460,neutral,Virgin America,dear virgin customer strand sf day least accommodate
461,neutral,Virgin America,use next airline commercial lol
462,negative,Virgin America,group virgin others bos weather expose actual cu serv model never book problem virgin
463,negative,Virgin America,one traveler affect boston storm shock virgin complete apathy toward customer
464,negative,Virgin America,umm reason someone different contact contact definitive answer
465,negative,Virgin America,try change advance hour prior try online earlier want change fee
466,positive,Virgin America,loyal drive nyc pa virgin since cut philly
467,neutral,Virgin America,way change main cabin main cabin select without pay change fee penalty
468,positive,Virgin America,guy perfect always heart wervirgin
469,positive,Virgin America,thanks best customer service leave industry
470,neutral,Virgin America,give silver status month
471,positive,Virgin America,really wish fargo fare amazings
472,negative,Virgin America,mood light point raise hand recline seat kickin foot zzz
473,negative,Virgin America,schedule departure still say plane gate update long delay
474,negative,Virgin America,group cancel flightlation fee waive ticket book rep either pout face
475,neutral,Virgin America,sign bonus enroll elevate
476,positive,Virgin America,newark home la folk ewr incredible letsgohome
477,neutral,Virgin America,morning question regard elevate point dm
478,neutral,Virgin America,still wait see disappointed face
479,neutral,Virgin America,wonder guy recieved dm able potentially respond asap
480,positive,Virgin America,lax sfo look awesome movie lineup actually wish long haul
481,positive,United,thanks
482,positive,United,thanks take care mr happy customer
483,negative,United,still refund word via dm please resolve issue cancel flightled useless assistant trip
484,negative,United,delay due lack crew delay long line deicing still need improve service
485,positive,United,thanks fill luck common
486,negative,United,eri ord express connection hugely popular could eri ewr hop smile
487,neutral,United,even international glasgow orlando newark min
488,negative,United,early think
489,neutral,United,understand tough way airport w serious risk accident steep price
490,negative,United,gate agent hook alternate way prevent constant issue would rock
491,neutral,United,gla mco week long airport departure international domestic ta
492,positive,United,thanks
493,positive,United,thanks ticket
494,neutral,United,law policy
495,negative,United,worst nonrefundable first class ticket oh select global fc system auto selects economy w upgrade
496,negative,United,cheertymedad buy tix day transfer tix flaw security logic flaw customer service
497,negative,United,start claim week unrealistic really suppose long car seat child ridiculous
498,positive,United,follow please airline beautifull heart suit
499,neutral,United,sure unite info system
500,negative,United,car seat lose reimburse new one pair shoe necessity child
501,neutral,United,submit response link send
502,negative,United,highbuddyyy totally suck cousin work phl say
503,positive,United,want let know wonderful rosetta gate agent work dan ase let know wasappreciated
504,negative,United,begin feb call unite say would send another voucher mail never anything tiredofwaiting
505,negative,United,internet great thing email executive company maybe respond timely manner
506,neutral,United,need use chase united club pas old son come pas
507,neutral,United,suppose number
508,negative,United,thats weak see ya wave hand hey
509,negative,United,flew back w company since unite earlier
510,neutral,United,lose voucher give miami aeroport jan use
511,negative,United,try book award september need hide even w many award seat availab
512,negative,United,sure drive total hour bag like explain debacle one want talk
513,neutral,United,cheertymedad gee like almost care ppl think int trust adult w daughter
514,negative,United,see tell repeatedly pilot late keep late flightr board defibrillator issue
