,sentiment,company,text
79,positive,Virgin America,i apply more then once to be a member of the inflight crew team im interested flightattendant dreampath g
80,negative,Virgin America,you the best whenever i begrudgingly use any other airline i m delayed and late shock
81,negative,Virgin America,i have no interesting with you after this i will cancel my next four i planned neverflyvirginforbusiness
82,negative,Virgin America,it be a disappointing experience which will be share with every business traveler i meet neverflyvirgin
83,negative,Virgin America,i m have trouble add this my wife book to my elevate account
84,neutral,Virgin America,ca bring up my reservation online use book problem code
85,neutral,Virgin America,random q what the distribution of elevate avatar i bet that kitty have a disproportionate share
86,neutral,Virgin America,i heart va but life happens and i be try to change my trip jperhi can you helpva home page will prevent me
87,negative,Virgin America,why be the site down when will it be back up
88,neutral,Virgin America,you down with rnp yeah you know me
89,neutral,Virgin America,hi i do leave point on my elevate account for my most recent how do i add the and point to my account
90,negative,Virgin America,i like the tv and interesting video just disappoint in cancelled flightled when other out to jfk on saturday
91,negative,Virgin America,just land in lax an hour after i should of be here your no late bag check be not business travel friendly nomorevirgin
92,neutral,Virgin America,why be redirect
93,negative,Virgin America,be it me or be your website down btw your new website be a great user experience for another redesign
94,negative,Virgin America,i ca check in or add a bag your website be work i try both desktop and mobile
95,negative,Virgin America,let scan in passenger leave the plane than tell someone to remove their bag from class bin uncomfortable
96,negative,Virgin America,what be your phone number i ca find who to call about a reservation
97,negative,Virgin America,be anyone do anything there today website be useless and no one be answer the phone
98,neutral,Virgin America,try to add my boy prince to my ressie sf this thursday from lax
99,neutral,Virgin America,check out new music
100,negative,Virgin America,how a direct fll sfo have unexpected layover in vega fuel yet peeps next to me buy for vega sneaky
101,negative,Virgin America,your no late bag check just lose you my business i miss and be apt three other people on have same exp
102,positive,Virgin America,amazing customer service again two heart two heart raeann in sf she the best customerservice virginamerica
103,negative,Virgin America,call your service line and be hang up on this be awesome sarcasm
104,negative,Virgin America,your site be trip i m try to check in and i m the plain text version i be reluctant to enter any card info
105,neutral,Virgin America,i be schedule for sfo dal today change to due weather look like still on
106,positive,Virgin America,have getaway deal through may from oneway lot of cool city cheapflights farecompare
107,neutral,Virgin America,have getaway deal through may from oneway lot of cool city cheapflights farecompare
108,positive,Virgin America,have getaway deal through may from oneway lot of cool city cheapflights farecompare
109,neutral,Virgin America,have getaway deal through may from oneway lot of cool city cheapflights farecompare
110,positive,Virgin America,have a great week sun with face airplane
111,positive,Virgin America,come back to phl already we need you to take us out of this horrible cold pleasecomeback
112,negative,Virgin America,should i be concern that i be about to on a plane that need to be delay due to a tech stop
113,positive,Virgin America,be the best airline i have oneasy to change your reservation helpful representative a comfortable experience
114,positive,Virgin America,and again another rep kick butt naelah represent your team so beautifully you
115,positive,Virgin America,your beautiful frontend design be down right now but it be cool to still book my ticket bc all your backend be secure
116,positive,Virgin America,at las tonight wait for a delayed and they keep thing entertain
117,negative,Virgin America,use another browser a brand with a reputation build on tech response do have a crossbrowser compatible website
118,negative,Virgin America,and now the book problem site be totally down folk what be the problem
119,positive,Virgin America,thanks to your outstanding nycjfk crew who move mountain to me home to san francisco tonight
120,positive,Virgin America,you have the absolute best team and customer service ever every i with you i m delighted you
121,neutral,Virgin America,do you provide complimentary upgrade to first class if there be available seat
122,negative,Virgin America,i need to change my thats schedule in hour and min wait on phone im call intern
123,positive,Virgin America,completely awesome experience last month boslas nonstop thanks for such an awesome and depart vabeatsjblue
124,neutral,Virgin America,on my jfk sfo
125,neutral,Virgin America,be cancel flightled and what do i do if it be
126,negative,Virgin America,you be fail your customer because your check in process do disconnect to tsa precheck
127,negative,Virgin America,fidifamilies us too terrible airline just give us a hotel hotline number and say sorry
128,neutral,Virgin America,have number from sfo to cabo san lucas arrive yet
129,negative,Virgin America,chrysichrysic your assistance yesterday when u cancel flightled our be to give us a hotel hotline shame on you
130,negative,Virgin America,another delay likingyoulessandless
131,negative,Virgin America,i need to register a service dog for a first class ticket from sfo dulles the phone queue be an hour or longer pls advise
132,neutral,Virgin America,reallytallchris drop a track on you
133,positive,Virgin America,always xoxo
134,negative,Virgin America,why ca we book seat on your when we buy them or even during check in creates so much anxiety frustrate
135,negative,Virgin America,you think pay an extra buck rt for luggage might afford you hire an extra hand at lame
136,positive,Virgin America,best customer service rep in the world irmafromdallas take the cake
137,neutral,Virgin America,can you find us a flt out of lax that be sooner than midnight on monday that would be great customer service grin face with big eye
138,negative,Virgin America,please provide status for i cant imagine it on as the web indicate dude to weather here andor dallas
139,positive,Virgin America,you have amaze staff super helpful as i just run the princesshalf they have spoil me with comfort
140,negative,Virgin America,i pay the premium to you across the country you cancel my and offer no check fee or upgrade love sad face shock
141,negative,Virgin America,question be it actual to book a seat for an infant under it take me the option but we want a seat for him
142,positive,Virgin America,always have it together you welcome rt jessicajaymes you so welcome
143,positive,Virgin America,home to dc sunset globe in backtowinter back to work refresh
144,negative,Virgin America,virginamerica i do understand why you need a dm to give me an answer on if you have a damage luggage policy
145,negative,Virgin America,virginamerica do that mean you do have a policy for destroy luggage
146,neutral,Virgin America,kid and infant priority boarding
147,positive,Virgin America,you for check in ticket be purchase and customer be happy
148,neutral,Virgin America,be your website ever come back online
149,neutral,Virgin America,be from love field to sfo definitely cancel flightled for monday february
150,neutral,Virgin America,be out of lga to dfw on
151,neutral,Virgin America,my driver license be expire by a little over a month can i friday morning use my expired license
152,negative,Virgin America,have problem book problem on the web site keep give me an error and to contact by phone phone be minute wait
153,negative,Virgin America,how do i reschedule my cancel flightled online the change button be grey out
154,negative,Virgin America,i rang but there be a wait for minute i can book the same ticket through a vendor fix your site
155,negative,Virgin America,a we be tell for today check my email and its for tomorrow this be unacceptable
156,negative,Virgin America,our into lga be cancel flighted we stick in dallas i call to reschedule tell i could a for today
157,negative,Virgin America,why do any of the pairing include red wine only white be offer shock redwineisbetter
158,negative,Virgin America,be the website down
159,negative,Virgin America,your site seem a little wonked right now may want to have a look try on two browser no cs
160,negative,Virgin America,i m disappointed that the agent at the designate silver status check in line close to assist all pasengers
161,neutral,Virgin America,plan to include austin to its dallas route topnews arab emirate
162,negative,Virgin America,be it normal to receive no reply from central baggage baggageissues smh
163,negative,Virgin America,at logan airport and wait to checkin for my checkin desk covert why
164,neutral,Virgin America,beat eps view take on va luv investor business daily
165,neutral,Virgin America,to begin dallasaustin in april ketr
166,negative,Virgin America,sfoewr be the clincher
167,negative,Virgin America,i apply over week ago have hear back and i m this week disappointed
168,neutral,Virgin America,i love to know what your policy be for damage luggage
169,positive,Virgin America,you for the follow
170,negative,Virgin America,too many apology you r the worse airline do even respond to your cudtomers
171,negative,Virgin America,shame on va for people spend money in stranded city when other airline be land at jfk who will reimburse me
172,neutral,Virgin America,i dm you
173,neutral,Virgin America,can you please have in sjc i have no choice but to southwest to vegas weary face loudly cry face
174,negative,Virgin America,too bad you say it take to day via your confirmation email when i inquire after week you claim to week
175,negative,Virgin America,from bos la tomorrow be cancel flightled no notification wait be hour will you rebook on another airline
176,positive,Virgin America,smile face with sunglass rt you met your match status on another airline upgrade restr http tcopyalebgkjt
177,positive,Virgin America,only way to elevate gold
178,neutral,Virgin America,if only you guy have from cmh
179,negative,Virgin America,a lot of apology be throw out to customer from what i can seevery sad thanks for nothing worst airline ever
180,negative,Virgin America,for all my stuff wrong and do nothing about it have worst ever
181,neutral,Virgin America,have an issue find a miss item on a plane can you me find which airport my plane head to next
182,positive,Virgin America,you will match my status cool
183,neutral,Virgin America,virginamerica you meet your matchgot status on another airline upgrade asarcoesar hearnoevil monkey
184,negative,Virgin America,try to book a with you guy and your website wo let me about to lose my business
185,negative,Virgin America,you suck
186,positive,Virgin America,thanks
187,negative,Virgin America,just dm same issue persisting
188,negative,Virgin America,because we never rec cancel flightlation notice we be leave w no option to out of p drive to la for a red eye mon w kid
189,negative,Virgin America,try to book a your site be down beam face with smile eye
190,negative,Virgin America,you have any into boston tomorrow i need to be home and you cancel flightled my and do do anything
191,negative,Virgin America,you stink cancel from psp to jfk and no notification or ability to rebook disappointed expect better
192,positive,Virgin America,i love your guy song we dance to it for our high school dance revue
193,negative,Virgin America,your website be down and i m try to check in
194,positive,Virgin America,do you for the quick response apparently faster than sit on hold
195,neutral,Virgin America,nervous about my from dc to lax cancel flightled tomorrow just send you a dm to me
196,positive,Virgin America,cool picture of another virginamerica plane off our wing what a site
197,positive,Virgin America,keep up the great work smile
198,positive,Virgin America,my goodness your people field be amaze under pressure red heart from texas beatstheothers in crisis please me to ny
199,positive,Virgin America,thanks for a great from la to boston pilot do a great job landing in the snow can we back to la now seriously
200,neutral,Virgin America,can you please me to the new york area before monday afternoon
201,positive,Virgin America,thanks so much for the awesome support you guy rock
202,negative,Virgin America,seat in row do recline should mention that on your website soreback
203,negative,Virgin America,delay hour in la due to mechanical problem handle like pro but you could have toss us a free drink
204,negative,Virgin America,why cancelled today no precipitation to be scar of snowflake snowflake snowflake
205,positive,Virgin America,twitter team you guy kill it for reschedule me asap you
206,negative,Virgin America,you guy charge me to reschedule a that be then cancel and be now refuse to refund it what the deal
207,negative,Virgin America,can access your website from safari on iphone seem to work on mac and ipad need iphone to add passbook
208,neutral,Virgin America,on ipad and iphone click the checkin link in the email i receive at before
209,negative,Virgin America,your mobile site be break show headerelevateusernumofpointsavailable number point wo let me checkin
210,negative,Virgin America,i be really look forward to my can you let me know when it will be reschedule diehardvirgin
211,negative,Virgin America,one sec its delay on my to airport the next its cancel flightled gon na email or call me to reschedule
212,negative,Virgin America,i do it but there be a problem in the link from the email for checkin thanks
213,negative,Virgin America,have to change to another airline to to dc today why be able to land in dc but not you cost me ugh
214,negative,Virgin America,i be so look forward to my first with you today but it be cancel flightled along with the subsequent one
215,positive,Virgin America,when be you put some great deal from pdx to las or from la to pdx show me your love
216,positive,Virgin America,wish i can afford to with you next friday back home love everything about your airline
217,negative,Virgin America,how be you gon na have a deal from dallas to dc but no deal from dc to dallas sad
218,neutral,Virgin America,it just a bug report guy
219,negative,Virgin America,hold at call center be a bit much
220,positive,Virgin America,like
221,negative,Virgin America,site down
222,positive,Virgin America,you have the best attendant ever
223,positive,Virgin America,awesome rt watch nominate film at foot meetthefleet oscar
224,positive,Virgin America,thanks so much
225,negative,Virgin America,try to reset my password email never arrives
226,positive,Virgin America,very nicely do clap hand
227,positive,Virgin America,i m look forward to watch the oscar on my home tomorrow i might even something bubbly to drink
228,negative,Virgin America,what be the reason for the delay of the departure of vx from jfk this afternoon
229,negative,Virgin America,be todays from palm spring ca to jfk in ny cancel flightled
230,positive,Virgin America,hahaha face with tear of joy you guy be amaze i love you guy grow heart
231,positive,Virgin America,sound like fun
232,neutral,Virgin America,any update on from jfk lax
233,neutral,Virgin America,spruce moose
234,negative,Virgin America,the cs on your site be a right now please fix site unusable
235,negative,Virgin America,we on vega to boston today check in online but our bag count do register can i fix that somehow
236,positive,Virgin America,classiq luv virgin america greetingz
237,negative,Virgin America,hi i m try to do checkin but the website be not work i try different browser and the problem continue
238,positive,Virgin America,thanks for your great customer service today for me all my travel sort out
239,positive,Virgin America,thanks guy sweet route over the rockies airplanemodewason
240,positive,Virgin America,love the music blasting at gate in boston while wait for to sanfrancisco only if i could an iced coffee
241,negative,Virgin America,the passenger in flt that assault me should have i trust he ban crew file report to
242,negative,Virgin America,current bug on website show select departure city when select destination city
243,negative,Virgin America,luggage be severely dentedmissing wheel come off baggage claim in san luggage agent miranda i think be any
244,positive,Virgin America,you for the easy itinerary shift for impend weather quick painless free
245,neutral,Virgin America,if you love to see more girl be inspire to become pilot rt our free woaw event march at abq
246,positive,Virgin America,thanks good there and back vodkatonics the entire cocktail glass sfo
247,neutral,Virgin America,beat expectation share take off santa cruz sentinel
248,neutral,Virgin America,any plan to start direct from dal to las
249,neutral,Virgin America,vipswagbags avalonhollywood
250,positive,Virgin America,you do a great job add little luxuriesaesthetics that improve the air travel experience you keep it up
251,negative,Virgin America,request window seat and confirm window but stick in middle seat not a good way to treat silver member unamused face
252,neutral,Virgin America,grand budapest hotel oscarscountdown
253,neutral,Virgin America,this be what you miss next trip to the
254,negative,Virgin America,wtf i pay for direct on purpose not to have to stop for fuel exhaust frequent flier and nothing for inconvenience
255,negative,Virgin America,there be something wrong with you website in safari iphone
256,positive,Virgin America,thanks for gate checking my baggage on your full dfwlax and give me early board too sweet
257,negative,Virgin America,already check in so the page expire x
258,negative,Virgin America,boo for a not refund a seat upgrade fee i do not want to buy in the first place
259,neutral,Virgin America,financial result usa today
260,neutral,Virgin America,add pillow instead of lieflat seat in first class arm race
261,positive,Virgin America,i see what you do there
262,neutral,Virgin America,way to take advantage of mayweatherpacquiao smile
263,neutral,Virgin America,you know i m virgin for the fight mayweatherpacquiao
264,positive,Virgin America,your inflight team the experience amazing
265,positive,Virgin America,cutest salt and pepper shaker ever just when i think you guy ca any better you just do
266,negative,Virgin America,move my seat with no notice better seat be cabin select not behind the row i select thumbs down disappointed
267,positive,Virgin America,fav airline
268,positive,Virgin America,we have a hot female pilot sweet dca to sfo smile
269,neutral,Virgin America,thumb up thumb up airplane airplane grow heart when be you guys to start to paris lizautter you welcome
270,neutral,Virgin America,what be your policy on after surgery i be still wait for answer so i can tell me doctor
271,negative,Virgin America,already contacted central baggage send dm be charge me for the dress that be in the lost suitcase
272,positive,Virgin America,you
273,negative,Virgin America,be there anything on with the website i be a lot of error past minute
274,neutral,Virgin America,i think i leave something on the plane yesterday who do i call ah
275,neutral,Virgin America,i need you to follow back in order to dm
276,neutral,Virgin America,need to start to smile face with smile eye grin face grin face with big eye grin face with smile eye
277,neutral,Virgin America,they tell to check with the airline regulation first so that be why i contact you
278,negative,Virgin America,virginatlantic i have just check in to sfo from lax be tell as atlantic club gold i no benefit
279,negative,Virgin America,husband and i order three drink via my screen and they never come awesome
280,negative,Virgin America,soooo be you guys to leave the seatbelt light on all you can barely call this turbulence smile
281,neutral,Virgin America,what be your policy on after surgery
282,negative,Virgin America,funny story your website be break you have miss javascript and stylesheets on the checkin process i dislike this
283,positive,Virgin America,would love to do more for virgin just like i do for
284,neutral,Virgin America,i apply for a position in and i be wonder if you guy receive my application
285,neutral,Virgin America,achieve a second year of profitability despite revenue pressure http tcozsuztnaijq
286,negative,Virgin America,i m try to check into my ct tmm on the desktop website and it malfunction some sort of cache bug so
287,neutral,Virgin America,weather delay next few week jfk bos dca
288,neutral,Virgin America,check the website before you to the airport
289,negative,Virgin America,do you guy know your checkin link from email be break
290,neutral,Virgin America,pilot say we expect a choppy landing in nyc due to some gusty wind wa temperature of about degree wthe windchill
291,positive,Virgin America,love it ca wait for monday return mostly just to watch the inflight safety video again sorrynotsorry
292,negative,Virgin America,lose my luggage day ago on vx from lax to iad i m call every day no responseplease give me back my stuff
293,negative,Virgin America,the book problem section of your website seem to be break on chrome might wan na look into that
294,positive,Virgin America,hi just want to see if you have any new route plan this year for newark love you guy and hope to do so more
295,positive,Virgin America,i mean probably inappropriate while on board but it on
296,positive,Virgin America,happy to spend the day together let do this
297,neutral,Virgin America,be save my sanity right now
298,neutral,Virgin America,miss my how do standby work
299,positive,Virgin America,virginamerica they be very understanding and me out thx comp
300,neutral,Virgin America,bring it all the way across the country today i see
301,positive,Virgin America,you i absolutely will smile face with sunglass
302,negative,Virgin America,look like a broken link for your asset
303,neutral,Virgin America,be you ready let say it together noooo turbulence today face blow a kiss
304,negative,Virgin America,the manage itinerary section of your website seem to be break for me
305,negative,Virgin America,ca check in your site look like this every it load
306,neutral,Virgin America,can u this princess need urgent treatment in flag united state old battling cancer could u with grow heart freyasfund
307,neutral,Virgin America,may start service to hawaii from sanfrancisco this year biztravel
308,negative,Virgin America,other carrier be less than half price for a round trip fare i be stun
309,negative,Virgin America,wtf be happen in pdx late march such that one way from sfo be
310,neutral,Virgin America,add dtw and i m sell
311,positive,Virgin America,how about some free drink on the back for the free promo
312,positive,Virgin America,ssal thanks
313,neutral,Virgin America,momma i it beam face with smile eye beam face with smile eye beam face with smile eye
314,neutral,Virgin America,please contact me about portfolio leave on vx from jfk to sfo tonite seat need it return call
315,neutral,Virgin America,i be on from jkf tonight seat leave portfolio need it back
316,neutral,Virgin America,shrinerack seattle bound wifey me the duffle for vday she a keeper holla
317,negative,Virgin America,my luggage be i file my paperwork promise a callemail still no resolution or response from central luggage
318,neutral,Virgin America,bestcrew sherocks
319,positive,Virgin America,thanks
320,positive,Virgin America,thanks for take care of on her rockstars travel
321,positive,Virgin America,thanks for the lovely soft view travel san to sfo
322,negative,Virgin America,i request a mileage challenge for status several week ago online but have hear back how do i with this
323,negative,Virgin America,just try to book ticket to nyc and face super fun broken styling do worry i ll keep try smile
324,neutral,Virgin America,many thanks for the follow ourprincess freyasfund usa bandie look for any smile face with hearteyes grow heart flag united kingdom grow heart flag united state grow heart ribbon globe show asiaaustralia ribbon
325,neutral,Virgin America,nice lofty view silverstatus
326,negative,Virgin America,apply for status match on feb confirmation email same day still no news though you guy have drop ball late flightly sad but relieve face
327,neutral,Virgin America,be my new to airline
328,neutral,Virgin America,virginatlantic americanair can you ourprincess in need of some in usa ribbon flag united kingdom ribbon flag united state ribbon
329,positive,Virgin America,i adore you and be so look forward to my to austin in two week
330,positive,Virgin America,i be so glad it be mention i take my first virgin a few year back and it be a transformative experience
331,neutral,Virgin America,book problem to uphold my status match do tax on ticket count as earned status point statusmatch virginamerica
332,negative,Virgin America,try to checkin but look like your site be down
333,negative,Virgin America,spending my birthday night with you daldca me home
334,negative,Virgin America,send a couple message to the email you provide but to no avail will try again next year cheer
335,positive,Virgin America,first virgin to sanfrancisco thanks for the smooth ride easily my new fav airline
336,negative,Virgin America,seriously though will there differ direct from sfofll in may
337,negative,Virgin America,it fine already do with my purchase but you should try it just most of the way through then back
338,negative,Virgin America,not really the experience i be hop i ws force check in a small carry on w nothing but empty cabin space on board
339,negative,Virgin America,wjere be our luggage so slow at lax
340,neutral,Virgin America,to jump into the dallas austin market
341,negative,Virgin America,i speak with a representative that offer no solution i be a loyal customer who on as well
342,negative,Virgin America,i be deeply disappointed that your birthday promo be defy to a trip i book mere day before i receive the email
343,negative,Virgin America,what happen to direct from sfofll look in may only see connect dontdothistome
344,neutral,Virgin America,lax to sfo
345,neutral,Virgin America,partner with checkout as mobile payment method to boost mobile conversion rate etailwest payment visa
346,positive,Virgin America,just promote the product be all have a problem with southwest and recommend noneother than the best
347,positive,Virgin America,love you guy but pls some direct route las to aus
348,neutral,Virgin America,i would like with some please
349,neutral,Virgin America,bruh virginamerica turn down for what vxsafetydance
350,positive,Virgin America,of course i work for and i m obsess with the entire virgin family
351,positive,Virgin America,ok first with you tonight smile
352,neutral,Virgin America,dig the swanky pink mood light during the from nyc to sfo just need a cabaret singer think about it
353,neutral,Virgin America,do but i need the receipt asap could you please
354,negative,Virgin America,i have and embossed badge and patch superior to the one you be currently use
355,negative,Virgin America,from jfk to la dirty plane downwards to your standard
356,negative,Virgin America,head to la from jfk dirtiest va plane i have ever be on sad for a great airline
357,positive,Virgin America,it square away someone pick up as soon as i tweet should have tweet sooner wink face
358,negative,Virgin America,your avis rental continue button do work on your website to book car try on phone this suck
359,negative,Virgin America,currently in minute of be on hold with cust service do i need to do anything to add a lap child to my reservation
360,neutral,Virgin America,add pillow instead of lieflat seat in first class arm race by
361,positive,Virgin America,virginamerica of course have fun celebrate thanks happy chinese new year
362,positive,Virgin America,book problem last second for next week from sfo to san any chance you want to gift me a promo code since i love you guy
363,negative,Virgin America,comenity bank be a joke please change nothing but constant problem with this bank
364,neutral,Virgin America,i just do how can i dm do u have to also add me
365,positive,Virgin America,for my grandma ella she would heart a bday greeting from your crew she be a stewardess for eastern airline
366,positive,Virgin America,just buy tix for atx dallas route thanks for add that love yr airline yr website be best transactional site ever
367,neutral,Virgin America,anytime sugafly
368,positive,Virgin America,give a credit for my late yesterday great service that a wow moment unexpected gesture
369,neutral,Virgin America,i need a receipt for a change can you send one
370,negative,Virgin America,i submit a status match request a while back and still haven heard i m on monday can you look accelerate
371,positive,Virgin America,have me at their safety video love my first cross country livewelltraveled sytycd
372,positive,Virgin America,that do look to fat to me it look yummy
373,neutral,Virgin America,ceo say jetblue have stray from low cost model
374,neutral,Virgin America,atlantic plough a lone furrow in the middleeast thenationaluae
375,neutral,Virgin America,atlantic plough a lone furrow in the middleeast thenationaluae
376,neutral,Virgin America,atlantic plough a lone furrow in the middleeast thenationaluae
377,positive,Virgin America,omg omg smile face with hearteyes smile face with hearteyes nonstop dallas to austin on virgin sparkle face scream in fear airplane
378,positive,Virgin America,your plane be really pretty just think u should know that smile
379,neutral,Virgin America,when be you to hawaii
380,negative,Virgin America,i m pull my hair out try to book a with u your site do work on iphone or ipaddo have a computer
381,positive,Virgin America,you
382,negative,Virgin America,can i some with a support ticket it be day incident you
383,positive,Virgin America,good to be home texas moodlighting
384,negative,Virgin America,i can not even open my laptop in seat and i pay a premium for this let me out of here
385,negative,Virgin America,i be in seat and i can not even open my laptop and i pay extra for this seat
386,neutral,Virgin America,virginamerica if only you guy be start those at the end of the month guess i m still road trip on feb
387,positive,Virgin America,thanks for that be need a way to those austin trip from dca and now you come through
388,neutral,Virgin America,announce new route to austin wfares from
389,neutral,Virgin America,really sprint i think you guy be kewl
390,positive,Virgin America,this be too cool never be on ur plane but now i will
391,neutral,Virgin America,you should have dollar laxlas fare
392,positive,Virgin America,great well deserve
393,negative,Virgin America,fyi the info virginamericacom email address you say to contact in password reset email do exist email bounce
394,negative,Virgin America,status match week have by and no newsflt next week hope flt will count towards requirement cust svc no
395,negative,Virgin America,your website suck donkey dick just think you should know all best
396,neutral,Virgin America,you should still develop an app then you will be my favorite airline
397,negative,Virgin America,all crap channel which be why i pay to watch uk tv
398,positive,Virgin America,it all set thanks
399,neutral,Virgin America,no a channel this year
400,neutral,Virgin America,only thing i see on passbook be virgin mobile mexico how do i integrate
401,positive,Virgin America,giant and virgin america a match in heaven
402,positive,Virgin America,goodness also see you friday nwk sf boom
403,negative,Virgin America,how come you do have an iphone app still use and me waste paper
404,negative,Virgin America,your back of seat entertainment system do reject credit card that have an apostrophe in the surname apostrophefail
405,negative,Virgin America,when will vx use all lga slots instead of today add au this less likely shock
406,neutral,Virgin America,be me step up my game tindertips tinderchamp
407,positive,Virgin America,i luv ur people and product thing be y do u charge for herbal tea but whiten tea i m not a caffeine drinker
408,positive,Virgin America,you see yall soon i m excited to see the expansion of destination spread those wing
409,negative,Virgin America,sad to learn you no longer sfo phl hope it return
410,neutral,Virgin America,can you tweet me the cancelled flightchng fee for a or can i rebook under one of your affiliate if so who be afiliates
411,positive,Virgin America,have the most incredible customer service i ever experience so refreshing
412,neutral,Virgin America,now when will we see virginamerica come to philadelphia phl
413,positive,Virgin America,be i dreaming do you really just open up a route between dallas and austin and do this mean houston might be next
414,positive,Virgin America,omg finally
